ID,Lat,Lng,City,Country,Max Temp,Hum,Cloud,Wind
0,3.155820308,-12.93103146,monrovia,lr,89.6,66,40,13.87
1,54.82178067,121.2021964,amazar,ru,33.52,65,8,2.37
2,-50.15146387,125.7452887,esperance,au,51.52,83,0,5.73
3,-43.15601479,-86.78160194,castro,cl,50.53,100,88,3.27
5,38.31520402,-111.477799,price,us,46.4,42,20,5.82
7,62.92216461,-105.7023214,la ronge,ca,39.2,44,20,10.29
8,61.9345476,67.76000762,oktyabrskoye,ru,43.51,98,88,6.73
9,-52.48702798,-166.1115213,avarua,ck,75.2,88,20,5.82
10,-29.39269364,-72.43029939,coquimbo,cl,59,77,0,4.7
11,46.7149527,107.0254606,ulaanbaatar,mn,39.2,29,0,2.24
12,-15.05497159,18.2334602,menongue,ao,79.15,34,0,3.38
13,25.94597495,146.4014685,katsuura,jp,60.88,79,64,4.38
14,63.71499579,-79.31534101,iqaluit,ca,10.4,60,75,14.99
15,-35.84767858,-117.2935847,rikitea,pf,77.17,100,48,4.16
16,-63.47980772,-104.7817119,punta arenas,cl,41,80,0,12.75
17,36.54062456,-41.23407292,ribeira grande,pt,66.2,77,20,23.04
21,4.767624006,-92.88424983,puerto ayora,ec,80.6,78,20,12.75
22,79.28285183,143.510016,chokurdakh,ru,14.53,73,0,13
23,-38.57656864,-7.496913935,jamestown,sh,74.47,100,76,17.47
24,-11.38516181,6.541143432,namibe,ao,80.5,95,0,10.2
27,72.80357644,80.97979123,dikson,ru,9.76,89,48,4.83
28,-30.82154591,-82.52144885,constitucion,cl,57.73,96,12,6.4
30,-23.26689164,-178.09669,vaini,to,71.6,100,90,25.28
31,59.60469837,-141.1485486,haines junction,ca,26.23,77,8,4.5
32,12.70175808,-106.339421,coahuayana,mx,77.8,47,12,2.59
33,-35.37806768,168.869441,ahipara,nz,61.51,98,64,14.34
34,53.98446441,-13.66703485,dingle,ie,50.35,99,92,13
35,29.69542885,24.94588505,bardiyah,ly,69.61,89,0,10.87
37,-29.96864872,145.7517277,dubbo,au,59,62,88,5.82
39,-67.52699726,31.60993961,port elizabeth,za,73.4,53,0,6.93
40,74.6946321,-94.0978306,thompson,ca,39.2,44,20,6.93
41,19.50554837,0.742051194,tessalit,ml,98.41,11,0,11.65
42,32.58616832,114.9720339,huangchuan,cn,62.6,59,0,6.71
43,35.95539495,13.21097562,san lawrenz,mt,69.8,68,20,17.22
44,-25.60540422,157.0393169,coolum beach,au,68.17,100,92,6.96
45,-0.050482387,-59.10687387,urucara,br,84.01,81,12,2.71
46,-66.37990176,-54.64785456,ushuaia,ar,42.8,75,0,8.52
47,-32.82826813,-66.07425628,san luis,ar,61.96,77,12,3.04
48,64.46553149,58.05767127,synya,ru,32.08,82,88,7.74
49,26.86591384,177.9358411,butaritari,ki,83.47,100,92,10.76
50,36.00031873,80.10395859,leh,in,4,70,20,1.59
51,20.3947222,8.360946291,arlit,ne,108.31,12,0,6.96
52,50.49098952,5.294054116,modave,be,55.4,50,40,12.75
53,-8.269424019,102.6542182,labuhan,id,73.93,94,80,1.7
54,31.04389261,-97.07182045,temple,us,71.6,94,90,13.87
55,63.76298634,2.425864092,raudeberg,no,51.8,70,75,11.41
57,-6.267036334,16.45662877,kasongo-lunda,cd,90.58,36,68,2.93
58,-51.29499698,40.42044326,east london,za,78.8,57,0,9.17
60,-26.60277309,-33.71929108,sao joao da barra,br,86,37,0,5.73
61,45.57123407,36.66809836,kerch,ua,60.16,88,0,9.86
63,9.223175676,-124.4794917,cabo san lucas,mx,77,31,5,4.7
64,-59.30605897,41.82084946,port alfred,za,78.25,65,0,8.41
66,16.70838399,41.47108315,jizan,sa,93.2,63,20,8.05
67,29.09650762,127.167004,naze,jp,74.11,97,92,13.56
68,39.32256173,46.67660518,agarak,am,56.38,52,0,1.81
70,-10.27905833,-121.275457,atuona,pf,78.61,100,92,15.79
71,35.30645393,131.8127605,hamada,jp,65.38,76,100,8.52
72,-25.1602569,89.26594889,carnarvon,au,72.76,94,36,17.69
73,-1.942535054,-78.16578155,palora,ec,66.55,95,88,2.93
75,-36.98857903,107.7347994,busselton,au,62.32,100,88,16.91
76,-25.04103189,58.9363665,souillac,mu,77,83,75,17.22
77,78.70432885,17.84712723,longyearbyen,sj,32,90,75,3.36
79,48.80417875,2.312723902,bagneux,fr,57.2,47,0,8.05
81,-1.554534487,-153.369243,faanui,pf,80.23,100,92,13.78
83,2.397206049,-23.13882174,bubaque,gw,93.2,34,0,11.41
84,60.66395497,-32.21512109,tasiilaq,gl,28.4,46,20,5.82
86,-30.50251295,176.883147,russell,nz,57.37,94,0,10.76
88,-69.68627612,145.3212806,hobart,au,55.4,71,0,17.22
89,34.12951352,-124.1125811,pacific grove,us,51.8,81,90,3.36
90,-77.67925215,29.23855376,kruisfontein,za,78.34,57,36,3.94
92,-10.70192126,57.07733436,victoria,sc,84.2,74,40,3.36
93,0.42692652,-73.48806854,puerto leguizamo,co,80.86,84,48,2.48
94,57.31253448,63.93324431,baykalovo,ru,39.2,48,0,6.71
95,23.92496864,21.94853424,jalu,ly,88.42,29,0,4.83
97,-69.42549401,171.9382519,bluff,nz,52.51,100,68,17.36
98,-45.98311301,-52.25062953,mar del plata,ar,55.3,51,8,4.72
99,77.57527231,-119.305923,norman wells,ca,33.8,74,75,10.29
102,8.220451908,42.31444247,harer,et,73.57,68,92,2.59
104,-44.42558803,-46.89420859,rocha,uy,64.93,84,0,8.19
106,32.00892078,72.66876497,sargodha,pk,92.65,30,88,6.17
107,40.21286089,-130.6836397,fortuna,us,46.4,87,1,8.86
110,-76.22363651,-13.26121375,cape town,za,69.8,64,0,11.41
111,-7.097198155,-46.80250876,riachao,br,84.73,98,32,3.27
112,73.28738396,72.12041952,yar-sale,ru,23.08,81,48,11.1
115,24.15422863,47.44860829,riyadh,sa,93.2,14,0,12.75
117,79.96552944,162.1505391,cherskiy,ru,12.55,73,68,1.92
118,-17.26694422,151.2072808,bowen,au,68,88,75,8.05
119,61.51158732,-117.5269796,hay river,ca,32,96,90,3.36
121,25.81014519,106.278546,anshun,cn,60.88,98,92,5.17
122,-4.727255244,8.560278793,mayumba,ga,84.28,86,76,4.94
123,41.94991143,-129.2030795,eureka,us,46.4,87,1,8.86
124,-9.304020796,-9.281203372,georgetown,sh,80.95,100,20,15.79
125,-33.784584,-0.244086776,luderitz,na,66.28,84,0,5.95
127,-53.52356307,69.21865621,saint-philippe,re,77,65,0,23.04
129,-48.00530436,179.7627587,waipawa,nz,48.1,91,88,7.18
130,27.90370414,-175.3287983,kapaa,us,62.6,88,1,6.93
135,42.51621835,-124.3351441,coos bay,us,44.6,93,20,3.36
139,21.30260455,118.798565,kaohsiung,tw,82.4,74,40,8.05
141,-65.50947045,106.4212603,albany,au,54.4,68,32,11.88
142,39.96990303,-93.2836394,kirksville,us,69.8,60,75,18.34
143,44.28408883,-179.6014824,provideniya,ru,24.7,100,8,11.54
144,35.94749384,125.752432,seoul,kr,66.2,100,90,2.48
145,47.09019683,-117.6933692,cheney,us,46.4,81,75,4.7
150,10.33232159,71.09403139,kavaratti,in,85.9,100,0,10.76
151,-25.1682763,54.00571424,saint-pierre,re,77,65,0,23.04
152,27.59363521,-106.5292038,valentin gomez farias,mx,59,47,5,8.05
153,78.83179628,-137.2572179,tuktoyaktuk,ca,32,92,90,13.87
154,18.62633871,68.14125822,mangrol,in,88.87,32,80,7.63
155,35.33837185,38.89845898,manbij,sy,69.8,56,75,13.87
157,-43.0458241,-66.63813302,trelew,ar,56.02,48,12,18.25
159,19.93245352,-30.87604867,ponta do sol,cv,70.15,100,64,21.05
162,54.96930948,-25.57757324,grindavik,is,41,93,75,26.4
163,3.875711306,-39.12137159,itarema,br,81.04,100,92,6.96
164,18.82925894,-100.8994345,tiquicheo,mx,78.43,42,36,2.71
165,34.37239224,73.92915746,uri,in,60.07,54,12,1.59
167,75.2963978,-0.578275209,roald,no,53.6,61,0,11.41
170,52.24795779,-123.3119359,quesnel,ca,41,65,75,2.24
171,-41.74926723,17.40412445,hermanus,za,76.09,26,24,2.26
172,-43.56051178,174.013203,amberley,nz,50,87,88,4.7
173,-68.52425143,177.5812508,kaitangata,nz,40.45,83,24,9.64
177,-21.48159786,171.6262071,isangel,vu,76,100,24,16.24
181,6.722250826,68.68298462,kulhudhuffushi,mv,85.63,100,88,9.64
182,11.60623941,-95.27804051,ocos,gt,84.2,83,20,2.24
183,-31.55344497,158.4881209,sawtell,au,59,87,44,2.59
184,31.20091048,123.3725864,shenjiamen,cn,65.56,97,88,1.36
186,12.84118046,25.51194922,umm kaddadah,sd,102.64,7,0,4.61
187,-11.38422142,-36.21321243,barra dos coqueiros,br,84.73,64,80,11.1
194,-34.47542299,87.50578826,geraldton,au,62.6,63,75,10.29
195,47.02528824,92.10059435,ulaangom,mn,47.65,52,68,7.63
196,-15.2750223,-77.38197347,pisco,pe,71.6,68,0,16.11
199,35.38274895,-146.1552091,kahului,us,64.4,100,40,4.7
202,7.783206287,-160.7171551,hilo,us,71.6,94,90,9.75
204,23.68760943,138.8623455,shingu,jp,64.39,91,24,5.73
205,70.35036794,-8.067114492,klaksvik,fo,41,86,92,13.87
208,46.47915268,-127.3721779,ucluelet,ca,46.4,93,40,4.7
209,-37.19601655,-83.94495765,lebu,cl,57.37,95,80,17.25
210,66.62102483,-15.13880439,husavik,is,42.8,41,40,12.75
211,-34.54721048,-77.60646211,talcahuano,cl,57.2,93,90,5.82
212,57.91159907,-39.24920173,nanortalik,gl,31.36,92,44,22.73
214,30.57989832,-115.1143559,san felipe,mx,64.57,100,8,7.74
215,65.10684613,9.064677917,sistranda,no,48.2,57,75,23.04
218,57.28541912,117.8984256,chara,ru,20.29,83,0,1.81
219,78.48788757,-53.7481149,upernavik,gl,13.18,100,12,9.64
222,-35.81023772,139.0873552,victor harbor,au,60.8,38,0,8.05
223,-16.14450353,19.73396036,rundu,na,82.21,24,64,8.63
225,26.60119668,43.13706636,buraydah,sa,89.6,38,75,4.7
226,58.45298202,-163.8000447,bethel,us,30.2,86,90,8.05
229,16.59953729,52.01679258,salalah,om,87.8,70,20,13.87
230,-7.734571485,111.0543127,karanganom,id,79.6,100,0,8.19
231,39.91855143,159.8626257,severo-kurilsk,ru,30.91,100,36,7.52
232,44.08968292,-107.4713713,worland,us,42.8,87,90,8.05
235,3.385094541,25.236187,buta,cd,95.71,35,0,2.71
236,-57.7249122,155.6972951,tuatapere,nz,47.02,100,8,10.42
239,34.62846759,29.71596782,kumluca,tr,70.06,24,56,1.25
243,55.66424111,-157.3120168,kodiak,us,69.8,73,1,20.8
247,18.93087279,136.7585482,nishihara,jp,68,68,1,3.36
249,67.00497324,116.226955,udachnyy,ru,42.07,74,88,6.96
250,10.60374858,-18.87168344,oussouye,sn,104,45,0,11.41
252,4.034816026,-55.42276124,grand-santi,gf,76.81,92,92,2.71
253,64.21656048,153.5693856,seymchan,ru,7.42,66,0,2.15
256,-27.57122866,-166.525102,alofi,nu,77,94,40,5.82
259,67.46815713,166.6827531,bilibino,ru,16.06,85,64,2.37
260,46.95270409,86.28370174,zaysan,kz,58.72,65,100,9.08
261,49.84343708,-45.68653794,torbay,ca,44.6,100,90,11.41
263,21.94555155,62.65828012,sur,om,87.52,74,36,3.71
264,-6.314913214,70.12914302,hithadhoo,mv,83.11,100,76,13
265,35.55481693,-128.1083016,pacifica,us,53.6,87,20,4.7
266,17.28285732,-60.21586408,le moule,gp,84.2,58,68,17.22
267,-54.90029648,136.5146268,new norfolk,au,55.4,71,0,17.22
272,-42.59311526,170.3864771,hokitika,nz,52.24,100,0,3.27
274,19.46545048,73.65388573,ghoti,in,82.48,35,0,7.63
275,-51.27628666,-25.81401501,cidreira,br,73.93,86,80,8.08
277,-13.82794693,-81.44338929,hualmay,pe,70.87,85,24,4.94
278,-8.202065514,-66.27032361,pauini,br,82.75,85,12,3.71
281,-51.45183868,-69.42951252,rio gallegos,ar,32,100,0,3.36
283,16.07016573,79.8725914,vinukonda,in,88.15,51,8,11.99
286,51.94516222,80.61384561,volchikha,ru,45.85,47,20,15.35
289,-0.037518217,-82.42873069,manta,ec,80.6,78,90,6.96
290,64.07910149,100.6320956,tura,ru,34.96,96,80,2.15
296,46.72064413,-4.803231737,concarneau,fr,53.6,66,75,17.22
297,79.82630627,168.2016655,pevek,ru,20.38,91,88,8.52
300,60.35736012,-62.73908051,pangnirtung,ca,1.4,77,75,13.87
303,48.52459503,-133.0226368,port hardy,ca,44.6,75,20,6.93
305,-33.15711721,47.58120446,ambovombe,mg,76.45,69,8,20.04
306,50.31211159,168.1615355,nikolskoye,ru,46.4,87,90,13.42
307,-33.58627169,147.2025495,forbes,au,53.05,82,56,6.29
308,24.94820101,-78.39071899,andros town,bs,82.4,65,40,16.11
314,30.59616278,-112.8197851,caborca,mx,59.98,42,36,7.63
319,32.28177459,-8.065102871,marrakesh,ma,64.4,42,75,5.82
321,28.91526765,-26.83432231,ponta delgada,pt,62.6,72,40,14.99
324,55.17707994,124.6395242,tynda,ru,27.22,73,0,2.59
325,22.4541716,34.80505068,aswan,eg,102.2,10,75,20.8
327,-10.79738794,144.6480688,daru,pg,81.13,92,100,13
331,57.22311825,-15.47399989,westport,ie,50,93,90,13.87
332,-4.440467265,112.9292389,sampit,id,74.65,95,88,5.84
333,-6.228584365,95.37951444,padang,id,84.28,100,56,6.51
335,43.51927569,-18.11392364,muros,es,55.4,50,40,10.29
336,-34.20729824,6.375457641,oranjemund,na,62.86,92,48,6.85
338,10.54954553,-61.88055728,mucurapo,tt,84.2,70,75,18.34
340,56.23436191,161.4200975,klyuchi,ru,44.5,50,36,14.79
341,-12.55776294,131.8659978,howard springs,au,82.4,69,75,3.36
344,-34.67930089,131.16171,flinders,au,53.6,81,48,8.05
345,34.23838545,70.49540737,jalalabad,af,95,10,75,9.17
347,63.73858816,117.2204814,nyurba,ru,46.75,47,20,9.19
351,-4.231527978,-70.85152269,puerto narino,co,80.6,88,75,3.36
352,-41.79476404,-70.93398223,san carlos de bariloche,ar,42.8,93,75,4.7
355,-9.957285555,24.31216493,kamina,cd,82.48,47,88,6.4
358,62.90527368,-170.6909508,lavrentiya,ru,20.56,100,88,21.83
363,65.00318602,-43.98987276,qaqortoq,gl,35.6,51,75,20.8
366,19.89920818,-105.1907785,tomatlan,mx,76.81,64,88,3.15
367,31.56556977,-65.99170503,hamilton,bm,68,56,20,12.75
370,-45.62833899,78.75217489,mahebourg,mu,77,83,75,17.22
371,-30.86852528,41.53954862,beloha,mg,79.51,49,8,18.14
377,-34.53763494,-68.71457036,san rafael,ar,56.2,52,0,2.71
380,-13.84389068,124.1484929,kupang,id,79.96,92,24,8.63
381,8.369955232,16.84505812,beboto,td,99.13,37,8,3.15
382,11.92973693,-96.12262581,pochutla,mx,87.8,95,75,3.38
384,26.23085814,-6.114323748,taoudenni,ml,88.96,11,20,14.67
388,34.62986877,-114.0333326,lake havasu city,us,66.2,39,1,14.99
392,-6.562079613,-43.18452861,floriano,br,88.78,60,56,10.2
393,41.00101944,-113.7296687,west wendover,us,44.6,48,1,4.05
395,19.9960012,-4.425721789,araouane,ml,97.6,11,0,13.44
397,43.23269999,17.28433651,drinovci,ba,80.6,39,20,8.05
399,-20.81024787,-58.17258972,fuerte olimpo,py,92.74,60,0,6.17
400,65.15596777,128.6775369,sangar,ru,35.86,61,76,6.29
405,69.83749004,-85.57450873,clyde river,ca,12.2,72,90,19.46
410,-17.95568395,118.577611,port hedland,au,75.2,83,0,4.7
411,40.07508194,21.47039773,grevena,gr,77,36,40,6.93
412,33.80032315,-98.89072276,wichita falls,us,73.4,73,75,23.04
414,12.16302643,125.8679848,san policarpo,ph,79.78,100,92,5.61
419,56.21182119,71.16724487,krutinka,ru,39.55,47,0,2.93
421,79.74221761,97.74274954,khatanga,ru,13.63,86,80,9.64
423,-12.12539613,48.28436913,ambilobe,mg,83.11,55,0,19.26
425,21.64334987,-15.4540868,nouadhibou,mr,71.6,53,0,20.8
426,11.0229358,-88.22848216,corinto,ni,86,55,40,4.7
429,24.8342186,87.91193288,farakka,in,73.66,93,88,6.29
433,12.09411768,-75.19306019,puerto colombia,co,87.8,70,75,6.93
435,-22.10801189,60.60524908,bambous virieux,mu,77,83,75,17.22
436,-4.919148718,-90.25642123,san cristobal,ec,66.1,98,48,2.71
439,6.960361761,4.699052858,ondo,ng,86.71,73,0,4.72
444,54.25583661,70.8473064,bulaevo,kz,42.25,51,36,2.93
446,30.35324145,-74.23617551,marsh harbour,bs,76.18,100,24,19.6
452,78.12722375,35.55817816,vardo,no,39.2,60,0,4.7
456,37.83340245,58.91702245,annau,tm,71.6,26,90,6.93
457,40.97828455,-115.4840321,elko,us,28.4,86,1,3.36
